frame_idx,time_s,group,TIPL_kf_x,TIPL_kf_y,TIPL_kf_vx,TIPL_kf_vy,TIPL_kf_state,TIPL_kf_missing_frames,TIPL_kf_age_s,TIPL_kf_variance,TIPR_kf_x,TIPR_kf_y,TIPR_kf_vx,TIPR_kf_vy,TIPR_kf_state,TIPR_kf_missing_frames,TIPR_kf_age_s,TIPR_kf_variance,TIPL_kf_speed,TIPL_kf_acceleration,TIPR_kf_speed,TIPR_kf_acceleration,kf_distance,kf_distance_delta,kf_distance_rate,kf_relative_speed,kf_distance_2s_mean,kf_distance_2s_min,kf_distance_2s_max,kf_distance_2s_std,kf_distance_rate_2s_mean,kf_distance_rate_2s_min,kf_distance_rate_2s_max,kf_distance_rate_2s_std,TIPL_kf_speed_2s_mean,TIPL_kf_speed_2s_min,TIPL_kf_speed_2s_max,TIPL_kf_speed_2s_std,TIPR_kf_speed_2s_mean,TIPR_kf_speed_2s_min,TIPR_kf_speed_2s_max,TIPR_kf_speed_2s_std,TIPL_kf_variance_2s_mean,TIPL_kf_variance_2s_min,TIPL_kf_variance_2s_max,TIPL_kf_variance_2s_std,TIPR_kf_variance_2s_mean,TIPR_kf_variance_2s_min,TIPR_kf_variance_2s_max,TIPR_kf_variance_2s_std,TIPL_kf_state_2s_mean,TIPL_kf_state_2s_min,TIPL_kf_state_2s_max,TIPL_kf_state_2s_std,TIPR_kf_state_2s_mean,TIPR_kf_state_2s_min,TIPR_kf_state_2s_max,TIPR_kf_state_2s_std,TIPL_present,TIPL_x,TIPL_y
1980,32.392,1,837.2747081947604,283.68897206394433,0.326349335607127,-1.4229595039241918,0,0,0.0,97.58196272192126,1168.213644031874,329.9454610064012,0.0300498067806119,-0.7692424297461724,0,0,0.0,80.93285866769622,1.4599032977082405,-0.064237050678731,0.7698291411796173,-1.838111119444592,334.15601449365647,-0.4993832011064683,-2.534940107139398,0.7177321393491342,333.559248124692,332.5177335244287,334.65539769476294,0.7476583351644085,0.2888446904767794,-2.9271278904986957,5.427225557507594,3.1806235500789164,2.173435450649328,0.7235196364875813,6.144323447070905,1.5833419023957709,1.4582271440975083,0.7635826183910369,3.6453531828170895,0.8584344771720102,101.71601377931614,92.84867633714347,121.92406795800004,8.547461465569475,84.76091640987694,80.8058462765731,104.96183755658126,7.655908665892282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,837.7911376953125,283.3239822387696
1992,32.588,1,837.5543101890694,283.73959523222806,0.8208825545937163,-0.6672460234499209,0,0,0.0,101.52240424539951,1167.9704679045915,329.9768985436034,-0.5720397043617075,-0.3287719977405197,0,0,0.0,80.82880764522481,1.0578588867358625,-2.051246994757053,0.6597881856054426,-0.5614334468070197,333.6356178482703,-0.5203966453861995,-2.6550849254398208,1.43345634240231,333.605681305529,332.5177335244287,334.65539769476294,0.7337129211195711,0.2411051520800455,-2.9271278904986957,5.427225557507594,3.22420138620852,1.71102958152796,0.7235196364875813,3.65844581352997,0.9052217586245837,1.1868121443509947,0.6597881856054426,2.099806790423095,0.4911980103997885,99.86131707817064,92.84867633714347,112.43452760190208,5.333142672302225,82.56700459975363,80.8058462765731,93.04993797049788,3.74923858709939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,837.70849609375,283.975212097168
2004,32.784,1,836.7867986631495,283.47913769275635,-1.2869307942464054,-0.9616603458907536,0,0,0.0,105.50273632140048,1167.8582280066114,329.77009920064336,-0.5723300894011767,-0.6729330501895724,0,0,0.0,80.76640655680589,1.6065433358731434,2.7994104547820755,0.883402864649759,1.1408912196138712,334.2920047575885,0.6563869093182007,3.348912802643916,0.7707253847176795,333.7473870908412,332.5177335244287,334.65539769476294,0.6980221115927041,0.7262678479868249,-2.9271278904986957,5.427225557507594,3.256618524615849,1.5244929926500668,0.7235196364875813,2.794164228104881,0.6348225601573851,1.1013620942535196,0.6597881856054426,2.099806790423095,0.4493671587220253,99.23115423448868,92.84867633714347,105.59311330463912,3.921682528328764,81.45031992578164,80.76640655680589,85.58570474482396,1.421313822307774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,836.1174926757812,283.3856506347656
2016,32.981,1,836.0607415605384,283.9343885989779,-2.34720523903583,0.4849235674062543,0,0,0.0,100.05356487096508,1167.871767043272,329.87892952274086,-0.2670477038913159,-0.0893894008369705,0,0,0.0,81.07036291030889,2.39677351879214,4.011320725477084,0.2816113299134403,-3.0547793641437075,334.9768013946617,0.6847966370732479,3.476125061285474,2.157983029708724,333.918872736065,332.5177335244287,334.9768013946617,0.7502515241841562,0.8765936058565483,-2.9271278904986957,5.427225557507594,3.349133682927082,1.5963465577310716,0.7235196364875813,2.794164228104881,0.6875588466070726,1.0178476344031606,0.2816113299134403,2.099806790423095,0.5103719803579934,98.72755892233648,92.84867633714347,105.50273632140048,3.3347876087102226,81.03983430446209,80.76640655680589,82.09346228833479,0.3729352019401774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,835.7654418945312,284.3372802734375
2028,33.177,1,835.756031964391,284.32078811408326,-1.9940879056966916,1.1472164755435863,0,0,0.0,102.15468812560846,1167.9290775254608,330.72948545785863,-0.0020952805281111,2.0081488128361222,0,0,0.0,80.96512242491808,2.30054172259589,-0.4909785520216876,2.0081499059322288,8.808870285810237,335.3993133363017,0.422511941639982,2.155673171632584,2.1700781341053137,334.15204076949914,332.5177335244287,335.3993133363017,0.7775922459725825,1.191299668153753,-2.9271278904986957,5.427225557507594,3.2855661121493007,1.738366630330907,0.7235196364875813,2.794164228104881,0.6530840532671142,1.1309901150887234,0.2816113299134403,2.099806790423095,0.5813802579793086,98.8151741908822,92.84867633714347,105.50273632140048,3.4176118722799083,80.93725795324238,80.76640655680589,81.20577518347041,0.1305816215559936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,835.865966796875,284.5269775390625
2040,33.373,1,836.9290777440167,284.7934978561868,1.5515867889122013,1.7091588062399603,0,0,0.0,99.34320712708823,1167.9882859605052,330.1101889792811,0.1419615594345898,-0.4392922472134617,0,0,0.0,80.90361636851041,2.3083858837886013,0.0400212305750572,0.4616608742561511,-7.890250161612723,334.14637786346606,-1.2529354728356452,-6.39252792263091,2.5696079889089947,334.30009934577527,333.5814697337002,335.3993133363017,0.559860174068831,0.7563220231788814,-6.39252792263091,5.427225557507594,3.943955047861564,1.8315065187764752,0.7235196364875813,2.794164228104881,0.6548355774588849,0.9820677590735468,0.2816113299134403,2.0081499059322288,0.5143412657541891,98.82337408281032,92.84867633714347,105.50273632140048,3.4188753931035345,80.9097889700642,80.76640655680589,81.07036291030889,0.0955226971827108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,837.9435424804688,284.9542770385742
2052,33.569,1,849.8580480536516,284.6810904013285,30.35642217821879,0.6883666223580251,0,0,0.0,92.381316922585,1169.3554243888348,327.716191105511,3.3785163046733167,-6.016501086034987,0,0,0.0,80.69687998979236,30.36422592573422,143.1420410303311,6.900192587109697,32.84965159619072,322.3826815722035,-11.763696291262534,-60.01885862888893,27.798608891614176,333.2820276947301,322.3826815722035,335.3993133363017,3.650228530685394,-5.193321993766257,-60.01885862888893,5.070416405925954,18.541769479874134,4.4487491272061295,0.7235196364875813,30.36422592573422,8.619678663213664,1.5311777355794716,0.2816113299134403,6.900192587109697,1.8530522578006543,98.35628703002622,92.381316922585,105.50273632140048,3.927933818359485,80.88335185870076,80.69687998979236,81.07036291030889,0.1108240357018518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,857.4395751953125,284.41241455078125
2064,33.766,1,862.9195527383041,287.7413922359538,46.84135416747037,7.496925309975965,0,0,0.0,92.11788663578808,1169.575208344243,352.4722346684544,2.300715348778124,56.70348669741287,0,0,0.0,81.23113398562194,47.43749940021873,86.66636281464409,56.75014268492883,253.04543196863065,313.4131029123215,-8.969578659882018,-45.530856141534095,66.37133560470808,331.35819420046283,313.4131029123215,335.3993133363017,6.968722176059323,-9.793437679898988,-60.01885862888893,3.9346965190720256,21.74160247555154,8.538361257521021,0.7235196364875813,47.43749940021873,15.501803474829368,6.598173766311561,0.2816113299134403,56.75014268492883,16.735545599621485,98.0056045878515,92.11788663578808,105.50273632140048,4.314891265866431,80.91735765271565,80.69687998979236,81.23113398562194,0.1517764868240814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,867.535888671875,289.6480178833008
2076,33.962,1,832.2624522345324,320.1648415875591,-46.25865319966016,79.83544732673117,0,0,0.0,94.89127532566232,1199.087141093183,388.2791379162918,72.48711623766272,116.3406167193934,0,0,0.0,80.85325115721221,92.26896361022864,228.7319602551467,137.0748741349093,409.8200584182571,373.0950411364431,59.68193822412161,304.4996848169391,124.23037129320998,334.9124136533364,313.4131029123215,373.0950411364431,14.427980310947516,18.15445438441354,-60.01885862888893,304.4996848169391,97.40023718734696,16.67243392862318,0.7235196364875813,92.26896361022864,29.41612238237788,18.97268734876808,0.2816113299134403,137.0748741349093,42.55431456382569,98.19129540498956,92.11788663578808,105.50273632140048,4.109850511364348,80.90180886510626,80.69687998979236,81.23113398562194,0.1484510655615894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,805.0704956054688,341.2929382324219
2088,34.158,1,806.4114920748732,364.0029673374337,-85.13971867515882,145.13899158779898,0,0,0.0,147.39483317690926,1226.48971391294,421.70869778625246,104.37989648076828,142.0257737387101,0,0,0.0,80.88036227222989,168.2679368602598,387.7498635205712,176.25686708725755,199.9081273079013,424.0231877966862,50.9281466602431,259.8374829604267,189.5451836745703,343.1068673460329,313.4131029123215,424.0231877966862,30.46752240221808,41.82911887330607,-60.01885862888893,304.4996848169391,121.1454654745704,31.90374458532975,1.0578588867358625,168.2679368602598,53.6917033950462,34.83440507522293,0.2816113299134403,176.25686708725755,63.07441387899982,102.78133707591527,92.11788663578808,147.39483317690926,15.35085459812968,80.90314984135398,80.69687998979236,81.23113398562194,0.1481577260234473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,779.668212890625,408.9202270507813
