frame_idx,time_s,group,TIPL_kf_x,TIPL_kf_y,TIPL_kf_vx,TIPL_kf_vy,TIPL_kf_state,TIPL_kf_missing_frames,TIPL_kf_age_s,TIPL_kf_variance,TIPR_kf_x,TIPR_kf_y,TIPR_kf_vx,TIPR_kf_vy,TIPR_kf_state,TIPR_kf_missing_frames,TIPR_kf_age_s,TIPR_kf_variance,TIPL_kf_speed,TIPL_kf_acceleration,TIPR_kf_speed,TIPR_kf_acceleration,kf_distance,kf_distance_delta,kf_distance_rate,kf_relative_speed,kf_distance_2s_mean,kf_distance_2s_min,kf_distance_2s_max,kf_distance_2s_std,kf_distance_rate_2s_mean,kf_distance_rate_2s_min,kf_distance_rate_2s_max,kf_distance_rate_2s_std,TIPL_kf_speed_2s_mean,TIPL_kf_speed_2s_min,TIPL_kf_speed_2s_max,TIPL_kf_speed_2s_std,TIPR_kf_speed_2s_mean,TIPR_kf_speed_2s_min,TIPR_kf_speed_2s_max,TIPR_kf_speed_2s_std,TIPL_kf_variance_2s_mean,TIPL_kf_variance_2s_min,TIPL_kf_variance_2s_max,TIPL_kf_variance_2s_std,TIPR_kf_variance_2s_mean,TIPR_kf_variance_2s_min,TIPR_kf_variance_2s_max,TIPR_kf_variance_2s_std,TIPL_kf_state_2s_mean,TIPL_kf_state_2s_min,TIPL_kf_state_2s_max,TIPL_kf_state_2s_std,TIPR_kf_state_2s_mean,TIPR_kf_state_2s_min,TIPR_kf_state_2s_max,TIPR_kf_state_2s_std,TIPR_present,TIPR_x,TIPR_y
12096,197.883,4,682.5964508075169,667.3340371472253,-154.0690547922149,-366.9002721334699,0,0,0.0,88.8568062001734,1174.0062735421104,511.13476128058784,-345.6819959109642,-310.95188450228625,0,0,0.0,81.98744168897812,397.9360292009016,574.6766316211825,464.9592635624233,871.2584146848759,515.6373024338974,-44.61294101482292,-227.61704599399687,199.61398067947664,691.5095493390373,515.6373024338974,886.8204012955503,121.12363727193296,-106.85256907724562,-455.6117318660636,531.1394784660254,270.1872228789963,258.1486878713312,85.99045301019765,492.4342619984484,142.2005970494622,91.46446101068832,3.9751339354665047,464.9592635624233,150.27047868788804,90.23755182435342,84.33941554342739,100.34123340818024,5.001758527673468,82.65384843595417,81.98744168897812,84.21748521193186,0.7266961639038487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1140.048583984375,483.3901672363281
12108,198.08,4,625.5313331078203,615.1135815507433,-216.9305445971885,-319.6982373338271,0,0,0.0,86.27066111798484,1097.2745474766673,459.9354868954823,-366.4639575334902,-286.7372098818899,0,0,0.0,82.11632154446272,386.34935503193066,-58.815604918633134,465.3107130745634,1.7840076758380814,496.610412057469,-19.02689037642841,-96.58319988034592,153.12305807769735,659.3247565699793,496.610412057469,886.8204012955503,121.64582267236968,-163.91826710873394,-455.6117318660636,184.57790193080572,169.48791357375907,248.50460541982957,85.99045301019765,397.9360292009016,127.5667226352312,130.86145524241618,3.9751339354665047,465.3107130745634,185.730213280461,90.2596751364663,84.33941554342739,100.34123340818024,4.981772182074306,82.63437039146487,81.98744168897812,84.21748521193186,0.7389947570322478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1091.9639892578125,466.1232299804688
12120,198.276,4,609.7923984793864,597.5651546573615,-153.36480517744926,-212.6159562295304,0,0,0.0,83.63142082782089,1093.2122605801296,459.89430989188696,-203.3053681471168,-151.52106154842372,0,0,0.0,82.08470663415875,262.15702987048536,-633.6343120481969,253.55808961694737,-1080.370527844991,502.64104942985006,6.030637372381079,30.768558022352767,78.90909951217824,624.3993609458247,496.610412057469,829.1794389051573,103.6122394294735,-177.9009347367751,-455.6117318660636,30.768558022352767,141.97332270053,240.94402647823617,85.99045301019765,397.9360292009016,123.65937546269365,151.90370679426698,3.9751339354665047,465.3107130745634,185.2864104014837,89.87455026683541,83.63142082782089,100.34123340818024,5.33630649060144,82.5493261169785,81.98744168897812,84.21748521193186,0.7439654125643999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1135.0938720703125,494.6033020019531
12132,198.472,4,636.0636131663503,590.3836818576389,-18.40677095977503,-129.981255120357,0,0,0.0,86.43086772372095,1164.0661355770162,532.18321270567,63.18526264200747,93.99080976189668,0,0,0.0,81.35755187759133,131.27808613713466,-667.7497129252656,113.25480005207956,-715.8331100248433,531.2004878400763,28.55943841022628,145.71142046033967,238.3710254936511,597.3103653944537,496.610412057469,739.8795394594098,81.2614058057403,-138.05501308421978,-455.6117318660636,145.71142046033967,166.0331573387765,245.0610840352304,90.06242062265386,397.9360292009016,118.636405941184,161.13980903294052,3.9751339354665047,465.3107130745634,180.05470447685627,88.6099715682482,83.63142082782089,98.47593565211731,4.116775570257077,82.42980761366822,81.35755187759133,84.21748521193186,0.8235853433343778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1231.5673828125,594.37060546875
12144,198.669,4,678.9621140326966,602.670621288565,92.14475676104864,-39.939574304074895,0,0,0.0,85.17052167466457,1297.095813461293,630.5687690339097,354.05823881949425,286.6547689609662,0,0,0.0,81.89389431180109,100.42821214252268,-156.59834515031253,455.552623792276,1737.5524047725464,618.7629408884337,87.56245304835738,444.4794570982546,418.64368756342566,586.2997655243651,496.610412057469,677.1865415694418,66.95882162383229,-56.22854136019087,-319.86223413244653,444.4794570982546,209.88638508566436,224.41090218696215,90.06242062265386,397.9360292009016,122.541625216131,202.08210272094155,3.9751339354665047,465.3107130745634,191.86342277871864,87.40038847938887,83.63142082782089,91.65730856288027,2.605321006853538,82.40381819760529,81.35755187759133,84.21748521193186,0.8366711680211633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1371.7332763671875,680.0059814453125
12156,198.865,4,705.9940114683629,618.5870614762772,113.5181380799338,16.62854698835784,0,0,0.0,85.07818781222647,1452.228887375853,711.1532730565366,560.6935266459504,345.4613197834825,0,0,0.0,81.90190272677636,114.72957878454424,72.96615633684547,658.5747902017042,1035.827379639951,751.9541166500709,133.19117576163717,679.5468151104008,555.0646994750234,593.0968178044222,496.610412057469,751.9541166500709,79.69165376804308,34.62682675279525,-233.13839307030796,679.5468151104008,286.6328523745245,201.3411356064593,90.06242062265386,397.9360292009016,116.43853725320125,261.5911623815086,6.551473317962516,658.5747902017042,223.22641480056956,86.8022865929658,83.63142082782089,90.40155716161188,2.2630342086871917,82.24551174886084,81.35755187759133,84.21748521193186,0.7375761299263077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1505.1417236328125,726.2117919921875
12168,199.061,4,716.3573452395411,628.4182351078915,85.18470324134991,32.29430970598848,0,0,0.0,84.8222475939211,1561.5505906144708,764.267248345311,559.310362408386,310.3023253527167,0,0,0.0,120.79436895131754,91.10080189385356,-120.55498413617816,639.6214619731762,-96.70065422718466,856.041223554676,104.0871069046051,531.0566678806438,549.6213218611592,611.1168237932792,496.610412057469,856.041223554676,111.75249007159296,91.84120029441164,-233.13839307030796,679.5468151104008,318.48834412583426,189.5742430130652,90.06242062265386,397.9360292009016,120.76453814845496,319.1429795319825,18.45028822238093,658.5747902017042,232.3203948921312,86.29507663226663,83.63142082782089,89.60329671215973,1.983662338245596,85.5706829978959,81.35755187759133,120.79436895131754,11.687349980047678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1560.81005859375,745.4434814453125
12180,199.257,4,717.7268630544943,633.2448317802788,48.6247212273051,28.708871964278572,0,0,0.0,84.23214173525456,1636.4614438421263,795.1706678751035,483.2712417342633,244.7732783881548,0,0,0.0,185.3898215258052,56.467360872405536,-176.70122970126727,541.7241464991771,-499.47609935714365,932.8950671592354,76.85384360455942,392.111446962042,485.3879124083207,636.8148044279777,496.610412057469,932.8950671592354,148.20065259320637,131.0145403242151,-233.13839307030796,679.5468151104008,327.194823421485,186.4650844341849,56.467360872405536,397.9360292009016,123.96347009840515,366.7133302844186,40.31065563690724,658.5747902017042,217.70659593407285,86.10708032296614,83.63142082782089,89.60329671215973,2.0788474963300825,94.89373200925095,81.35755187759133,185.3898215258052,32.19660431449388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1579.6510009765625,746.2125244140625
12192,199.454,4,715.7732223878412,636.5976467897875,21.06860282840273,23.206511437160984,0,0,0.0,84.31540528489947,1642.973984230208,783.1783220685461,310.3494891353222,127.37717889780818,0,0,0.0,169.65921794616324,31.343710664566554,-127.53121932913012,335.47242973233983,-1046.963029273271,938.715690252508,5.820623093272616,29.54631011813469,307.46537876924225,664.6049002004943,496.610412057469,938.715690252508,173.858830701137,141.6748929243449,-233.13839307030796,679.5468151104008,321.2112259499646,181.12701989254057,31.343710664566554,397.9360292009016,129.66307953115958,393.5462188385488,106.78747443516072,658.5747902017042,189.86280941578065,86.10489757219088,83.63142082782089,89.60329671215973,2.08090070380058,102.85314347741068,81.35755187759133,185.3898215258052,38.85316289393175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1582.543212890625,742.1520385742188
12204,199.65,4,713.1502935854505,638.218101944752,4.926468205935873,16.206824532638628,0,0,0.0,83.76508904542933,1628.81703641808,760.8713578911849,165.66734117875438,36.16556842828075,0,0,0.0,135.10999561322905,16.939045144748693,-73.49319142764291,169.568913050059,-846.4465136851152,923.8449031758404,-14.870787076667511,-75.87136263605953,161.975244102164,693.5048578991616,496.610412057469,938.715690252508,188.9037017914302,147.27369764285984,-233.13839307030796,679.5468151104008,316.3594135839111,170.36623810420406,16.939045144748693,397.9360292009016,138.45926447255096,399.25362234899416,113.25480005207956,658.5747902017042,181.12310758317173,85.57415142066993,83.63142082782089,88.8568062001734,1.8286273141142608,107.6701442329449,81.35755187759133,185.3898215258052,39.30802633588552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1584.79248046875,733.1170654296875
